,date,variable,value
0,2014-03,0,0.0
1,2014-04,0,0.2775592757620513
2,2014-05,0,0.22691459338975878
3,2014-06,0,0.16991115819733846
4,2014-07,0,0.3664876630519732
5,2014-08,0,0.31134168046213656
6,2014-09,0,0.17114590922160394
7,2014-10,0,0.2113767152546631
8,2014-11,0,0.27813932957224463
9,2014-12,0,0.2064283053166183
10,2015-01,0,0.26886515030379576
11,2015-02,0,0.19698210839255945
12,2015-03,0,0.11006080436827793
13,2015-04,0,0.1872184641766538
14,2015-05,0,0.142207964879199
15,2015-06,0,0.2084719465512575
16,2015-07,0,0.15149616480437234
17,2015-08,0,0.12650356497104484
18,2015-09,0,0.09988602561146394
19,2015-10,0,0.24927006041265803
20,2015-11,0,0.12044355868195057
21,2015-12,0,0.22975509013984136
22,2016-01,0,0.05751127239111544
23,2016-02,0,0.04230459561309018
24,2016-03,0,0.1366510064215186
25,2016-04,0,0.09911415988263235
26,2016-05,0,0.10236345354625018
27,2016-06,0,0.0509196638607239
28,2016-07,0,0.08076376154536355
29,2016-08,0,0.146324140249218
30,2016-09,0,0.062107332606767006
31,2016-10,0,0.0
32,2016-11,0,0.09723055098247527
33,2016-12,0,0.0
34,2017-01,0,0.12531973683096753
35,2017-02,0,0.07725826263025898
36,2017-03,0,0.10033565197469434
37,2017-04,0,0.09575448901768392
38,2017-05,0,0.16370881974902807
39,2017-06,0,0.012623207881079988
40,2014-03,1,0.0
41,2014-04,1,0.07131534913491419
42,2014-05,1,0.052641571299594854
43,2014-06,1,0.1277485125099969
44,2014-07,1,0.12684715507164
45,2014-08,1,0.15191080892883932
46,2014-09,1,0.2971820715156079
47,2014-10,1,0.11823895456258113
48,2014-11,1,0.07138706766484124
49,2014-12,1,0.08140744246871334
50,2015-01,1,0.053299996471281905
51,2015-02,1,0.06562271886073412
52,2015-03,1,0.15215985633778628
53,2015-04,1,0.30905478878261694
54,2015-05,1,0.17718380515792057
55,2015-06,1,0.24271624777514972
56,2015-07,1,0.1702343490251017
57,2015-08,1,0.1996087706272549
58,2015-09,1,0.32547485950742006
59,2015-10,1,0.23143005731003202
60,2015-11,1,0.11611032175929888
61,2015-12,1,0.29307673829485503
62,2016-01,1,0.15513689262237082
63,2016-02,1,0.23781979148825713
64,2016-03,1,0.1306827520937206
65,2016-04,1,0.14025138140609353
66,2016-05,1,0.08524047356347657
67,2016-06,1,0.2585782872204658
68,2016-07,1,0.17916739093315304
69,2016-08,1,0.20585186587470783
70,2016-09,1,0.20693933516008778
71,2016-10,1,0.1625618825321554
72,2016-11,1,0.035062656097253855
73,2016-12,1,0.4107887798608887
74,2017-01,1,0.12263293613608654
75,2017-02,1,0.09470728676120897
76,2017-03,1,0.15236740428288859
77,2017-04,1,0.15160391648106153
78,2017-05,1,0.07513535260304077
79,2017-06,1,0.0830013970111937
80,2014-03,2,0.8145899775283818
81,2014-04,2,0.2897590938623353
82,2014-05,2,0.24084675728979887
83,2014-06,2,0.2649841025632004
84,2014-07,2,0.1521024227290629
85,2014-08,2,0.14687359074545286
86,2014-09,2,0.1028309609590931
87,2014-10,2,0.17921111520538216
88,2014-11,2,0.1375670463625117
89,2014-12,2,0.1875906744499278
90,2015-01,2,0.15991757427904263
91,2015-02,2,0.19516403076724634
92,2015-03,2,0.1062540723891811
93,2015-04,2,0.17640637188240055
94,2015-05,2,0.19568371492982997
95,2015-06,2,0.19794855062987915
96,2015-07,2,0.07228374581820875
97,2015-08,2,0.2746180671254877
98,2015-09,2,0.18595605982497976
99,2015-10,2,0.2638481194218095
100,2015-11,2,0.29290981950394884
101,2015-12,2,0.026569424383611664
102,2016-01,2,0.2253782526544496
103,2016-02,2,0.33515269179626156
104,2016-03,2,0.3262274959730912
105,2016-04,2,0.38608516723228115
106,2016-05,2,0.28365153477331506
107,2016-06,2,0.3227771014272486
108,2016-07,2,0.35812325013845375
109,2016-08,2,0.3174866641315978
